team;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
arizona diamondbacks;132080400;93870000;69764831;89443700;87788000;78442066;66360316;59453666;71044333;91377793;50423879;27539000;7505000;17105750;20991666;26991666;20688000;19300000
atlanta braves;113898391;97375791;82066982;109268374;104318533;91401666;109294516;111608910;93752832;65790166;57713749;49984166;30924833;23903333;31923333;38477033;34216333;27338237
baltimore orioles;194737583;168157381;108338838;123376458;117209833;86289833;100595888;84997445;58260083;40668166;42468666;39034000;21893000;10615000;8500000;532500;600000;0
boston red sox;209084178;232959928;182184365;129485728;190154000;183150118;178305675;156725384;104605900;113490750;125504449;80719984;80358125;84075000;68489500;57200000;34400000;17020000
chicago cubs;187196280;184953447;120995925;64937523;83501423;91607066;132046096;132027537;116929833;97179834;62236583;54767833;50468000;32377000;8645000;5247000;2500000;200000
chicago white sox;68379500;128480667;117469266;73392966;92572300;132757900;128786000;104527068;87463839;130410409;93053866;69600666;37606000;32890000;23520000;18077500;17050000;8820000
cincinnati reds;107571585;111479660;104841578;113907223;108779999;94480733;80858874;76555701;57835099;33462833;46166250;31817000;25797000;16610000;21189000;15500000;13525000;13055000
cleveland indians;146890435;107265999;62018415;69607899;94161200;74725300;63740400;53635567;81294212;53960767;40586667;31946967;20491300;12842000;15616800;17263000;15750000;16500000
colorado rockies;124974171;110124271;100094252;105027171;90113071;79003571;80441872;78479589;65322533;59250000;47253000;24270500;20539000;15257500;12150000;11050000;7545000;1300000
detroit tigers;129972900;212614300;149153432;176515561;155239100;145007244;116370566;109478066;105033000;90202500;51288000;47633500;30516500;24780000;10532000;7771000;290000;0
florida marlins;0;0;0;0;0;0;71547000;31768219;39791129;17330396;25006500;13014500;34490833;22691208;31141000;12323750;3100000;3523000
houston astros;201245068;101572600;100389163;56133800;19434200;33693700;76200000;69458330;86246433;77850000;63909000;65250294;45109000;26140000;9695000;2776750;485000;1036000
kansas city royals;160431467;137121850;134171050;106268039;91495775;71415000;51683600;40349000;49121334;32266333;17815500;6317000;7186500;24188166;22580666;8775000;4225000;6650000
los angeles angels of anaheim;187546333;156936933;138740700;142973088;124499770;154625890;144027167;86927470;108705800;84821333;82179533;64144833;43217000;42583168;4266166;3996666;1050000;700000
los angeles dodgers;252956853;249387154;248293804;241698014;247475002;135220951;101992211;93337833;100696083;95520501;58134166;60890666;36265500;19273500;8837500;4392500;1470000;1000000
miami marlins;113412100;92668900;57230600;44984787;39868300;103574700;71547000;34053219;39791129;294000;25006500;0;34490833;400000;300000;12323750;3100000;3523000
milwaukee brewers;103230200;74989500;76823500;125899600;85097083;114563333;107253650;64781415;57030000;78912000;38655000;17870000;16004000;12721668;2456000;290000;735000;0
minnesota twins;123347800;106644100;114608009;79701600;71157500;119209500;109326000;95421467;70664267;61661766;53480000;38323834;23880000;15037000;9732500;5547500;7095000;0
montreal expos;0;0;0;0;0;0;0;0;0;390000;380000;0;0;9639500;22535000;17562000;8407000;4105000
new york mets;116009752;173562074;131085428;86344870;86379755;108369822;113088000;140139095;112144145;109170779;59446662;46416568;46462536;16449108;11302500;6092857;980000;0
new york yankees;218894999;190993849;229384696;232091921;265347189;229797714;215834678;224618389;220816014;183572721;173190436;139466431;108489571;82398571;70832671;55989721;40805000;33381000
oakland athletics;56781300;72769866;62093496;99480900;83944500;69033766;71844500;54978071;61870371;2183394718;40117737;41265862;48616737;18012071;14985000;18684166;16128750;4684750
philadelphia phillies;63586108;106281968;103808967;179780766;165821014;173732339;178883882;140751080;103461547;59244547;39284047;45457000;43938666;35589166;28080666;17948333;11148333;7910833
pittsburgh pirates;112433339;91336966;109258420;77686166;109004200;75072500;65651367;35564500;62728000;48016925;38153000;28499750;9796000;14307166;13206666;9311166;5525000;2250000
san diego padres;58815100;95550745;132230111;79324520;71795153;66492200;61756642;41016000;31929800;16997349;32448300;14454000;11914750;7373750;1207000;470000;0;1650000
san francisco giants;200308511;195379310;198301135;175714477;145966427;132093582;146164761;96644333;64610000;55412674;24427834;9074833;4919833;8441000;4579000;7120000;4845000;3520000
seattle mariners;192028242;157101942;110901651;124315942;70032242;80124000;91062834;73917333;87391300;79819500;51216667;48034514;41772334;24736667;27556668;14026666;13592166;11117500
st. louis cardinals;131073533;168763800;145372234;141597139;130695800;125683300;131312000;99886200;82140500;53176000;49047333;41923333;30886633;26657400;20375000;12665000;9130000;5747500
tampa bay rays;110201032;58373191;73088689;78677882;84816775;71844075;50264308;75195608;39364583;41675933;15521133;16533500;11029000;6515000;947000;265000;200000;495000
texas rangers;158056763;184238560;157327985;141414942;153330600;156034900;108897920;86368580;74934116;40695558;37910109;36232030;22389500;12100000;25265000;21910000;26777000;4500000
toronto blue jays;186497400;190481366;128366782;150078100;134246300;99331800;65723502;86520800;73871600;75120200;52548800;39726500;27233500;15977400;10077400;9402000;4650000;2400000
washington nationals;204184684;161489685;185877166;157965078;121599178;105349428;78545528;54701900;32728516;18474877;24821000;28872000;16339000;6430000;3600000;2625000;340000;265000
